Chain ID,Transaction Hash,User,Log Index,Effective PT Trade Volume,Swap Fee,Effective Implied Yield,Post Swap Implied Yield
42161,0xe57b150a976a0cf06bbe3dda0a2521bbd30e2f669e9bba52e198ff9c2b3a6717,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,40,157.529271,0.150148,0.158575,0.155199
56,0x7075b98dd03c2259de01dced37fc2f2858dc9b8ea190bf709b00cff36879a73e,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,190,1132.428867,2.206456,0.077075,0.038028
42161,0x75924cf607ff657ee5bc003af41bf338c9ff4df0ee85fde52617a4fa1446507d,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,32,143.917648,0.137176,0.087937,0.089344
42161,0x191895c491aec3c13ed18db768b3625f01b2a917e7ef8d208948c544a6cfd32b,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,22,14381.883647,13.70833,0.033962,0.035004
1,0xd627a896c088e5670a33b9ca198618b52f6f762b94a24dd4b7693bdc797491d1,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,424,25772.209593,24.564698,0.039633,0.040701
1,0x18aa16558477b8a2a3b14e5d93ef681c22681f3102aeebb9e75b209751cbd05f,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,286,52657.358474,50.19031,0.036351,0.037411
42161,0x70a02d98be7218432b78bda8727ce6af4e32a01272319e838671ea639220a87f,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,35,337.571405,0.321775,0.08925,0.089586
42161,0x911cfd79f549fd4073ded97bcc5301f58dcf70a2faad5eeaa5ae4bd29798dc7b,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,38,7176.657719,5.054077,0.105189,0.141895
1,0xdd495959d833c3078a4adb0a06757c7de4638e86d89f22d6fe93989901fb47bd,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,89,233.050595,0.222139,0.047707,0.048904
42161,0xd141ea94721dfd8ab3bf6f863b62f98a33ea11a5fc2f09b7004294f4d7113ad5,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,34,5695.616247,4.011083,0.105058,0.141727
56,0x613c6e0cf5f4ba7efabd4b60207d500d16d26e1d53d65ae56e8dd194113d1a5c,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,865,333.598006,0.650017,0.076064,0.037561
42161,0x2d4936bb38ca28e30c0c40c163760f92e7ea2c725822021f9439e6631d161ed5,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,8,16.842447,0.016054,0.0329,0.034924
42161,0x2a4b39cbab5d403c416e59ebd1f8d9f0790357a4133dd85c4fdacafb65bd42f7,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,45,6226.076473,5.93502,0.15864,0.155275
42161,0x55c4ef3e86b25e7d65405c368acfb7bd2764b0b4b0c45d5cceb337ef4aa99755,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,6,422.357701,0.402623,0.032901,0.034924
42161,0xaad856dc59cd2d65fdb31d200bb6b9784c97cf936a2919c6022d478384bb1cdd,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,18,20.638679,0.019672,0.029487,0.031454
42161,0x8a03859d3673c3945c475ca80006bb21ad7236355919235ab118d98c7f296948,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,15,65.082438,0.062041,0.03047,0.031455
42161,0x2e5b527f20022ad5d69cd1512b3143f1cd641c5a923a7f8ada3ea71ff4fb1cf1,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,32,1491.397605,1.050412,0.104184,0.141594
42161,0x248fbfcce9ae94c81ae5052afab89fe712e4b7cbc7f1b67c95db0aabcc512975,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,22,35684.938306,69.536196,0.068411,0.033905
42161,0x86934fa50cf62e52b6b8aae0dcf2d8bcd5bd746769efc9777caaa8aa5f750c11,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,19,5.413732,0.00516,0.03389,0.034927
42161,0xca8ef950db008ff53cf9d2b3c35da81347a5ebd05d3d224e488e207feee42f24,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,43,6.003106,0.005722,0.034865,0.035834
42161,0xbaf39fc5443366e60e467de1290cfcc31a1e36d8da1e4f0e68f771732a72415c,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,74,1594.038178,1.122768,0.104997,0.141629
